         100

  -11.1536522       4.83112335E-02 -0.545393944       5.00000000    
  -3.10759306      -5.31274128      -3.09883404       5.00000000    
  -12.0122185       3.99714804      -9.69249439       5.00000000    
  -16.6760006      -8.17121601      0.848469734       5.00000000    
  -16.4590569       7.84761333       2.77476215       5.00000000    
  -5.90337896       11.2837105      -6.59604454       5.00000000    
  -22.3059864       10.3465347      -4.94331646       5.00000000    
  -18.1278534       9.22603226      -15.6302929       5.00000000    
  -17.9097462       18.1518936     -0.499316216       5.00000000    
  -27.6814709       6.69819641      -12.5455532       5.00000000    
   2.01681089      -3.10335732      -10.8108120       5.00000000    
   9.65942860      -4.50233364      -4.51531315       5.00000000    
 -0.864818096      -12.6587458      -10.1858978       5.00000000    
  -7.69611502      -4.49233437      -12.7420921       5.00000000    
   3.15751600      -1.05272293       2.25411320       5.00000000    
   1.28479874      -2.25409508      -20.7477722       5.00000000    
   6.23581171      -10.5460291       2.88745975       5.00000000    
   3.34191179      -15.9520407      -18.6391525       5.00000000    
  -12.9373627      -11.1901960      -7.48215866       5.00000000    
  -3.52763176       5.92527962      -17.5951595       5.00000000    
   11.7478333       13.0369873      -31.3435745       5.00000000    
   15.8827286       16.6342869      -22.9792919       5.00000000    
   4.79085970       7.94344473      -26.2783451       5.00000000    
   10.0318089       15.4316425      -14.9593258       5.00000000    
   15.1847153       22.3977432      -32.0958061       5.00000000    
   14.1610508       24.5078316      -15.7156830       5.00000000    
   9.17840958       29.8811188      -29.2810707       5.00000000    
   6.63204193E-02   16.2602348      -15.0177813       5.00000000    
   23.9836349       10.8859949      -21.8253136       5.00000000    
   5.51076984       6.87140083      -12.4526596       5.00000000    
   12.1459084       12.6598911      -5.58656311       5.00000000    
   16.9879112       4.79250860      -9.41534996       5.00000000    
   19.6686001       18.9076576      -7.67800570       5.00000000    
   10.0726900       4.50267029     -0.186431885       5.00000000    
   26.8347282       5.76158810      -7.96627331       5.00000000    
   7.76219130       12.8628321       3.39905548       5.00000000    
   22.5563507      -2.83540726      -5.17570972       5.00000000    
   15.8667183       16.6629219       7.85724735       5.00000000    
   14.9954681       7.79717398      -18.7428322       5.00000000    
  0.445548058       6.71195078      -1.74754810       5.00000000    
  -19.2914162       20.1005535      -39.2732391       5.00000000    
  -13.7838850       16.4612827      -46.7846718       5.00000000    
  -25.8136482       12.5355082      -39.7612915       5.00000000    
  -20.2616482       19.3543243      -53.8326569       5.00000000    
  -18.9964027       5.22516489      -39.4575195       5.00000000    
  -11.4666195       25.9126415      -44.4823341       5.00000000    
  -9.36102581       11.4105062      -54.1961365       5.00000000    
  -18.7740555       10.8310585      -31.1795845       5.00000000    
  -11.1147375       24.9685097      -54.4315338       5.00000000    
  -16.3764534       4.56373596      -56.1719475       5.00000000    
   1.07340145       22.7482338      -38.7270355       5.00000000    
   6.01938534       16.3892612      -44.6518097       5.00000000    
  -1.96408558       28.3256683      -46.4514313       5.00000000    
   13.9094238       21.9327374      -42.0032425       5.00000000    
  -1.58296824       32.3157120      -37.2898598       5.00000000    
 -0.819807053       15.7104855      -31.8791370       5.00000000    
  -1.67300701       10.0304260      -45.2789803       5.00000000    
   12.1852112       9.68541718      -40.5244980       5.00000000    
  -3.36420727       6.59283924      -35.1034393       5.00000000    
  0.631853104       11.3683310      -54.9170532       5.00000000    
  -14.0151215      -15.4678259      -30.3897705       5.00000000    
  -6.77326584      -8.93610096      -32.6022186       5.00000000    
  -21.1856041      -9.40668106      -33.8324203       5.00000000    
  -10.1627245     -0.519224644      -36.8054543       5.00000000    
  -4.50959826      -16.5843563      -27.4918289       5.00000000    
 -0.438352585      -2.84447885      -36.6441803       5.00000000    
  -4.91043711      -10.8706179      -19.2944565       5.00000000    
  -13.0713520      -20.5918140      -21.8542595       5.00000000    
  -23.8484268      -16.9330635      -29.3102722       5.00000000    
   5.01675701      -10.3423758      -32.8996811       5.00000000    
  -27.8183575      -1.92521238      -34.0274734       5.00000000    
  -21.2126045      -3.64623499      -41.3352089       5.00000000    
  -20.9175720       2.27329636      -28.1318455       5.00000000    
  -30.8742733      -5.52422523      -43.1046410       5.00000000    
  -31.1426468      -6.54171753      -25.8028336       5.00000000    
  -14.1875877      -5.12306833      -28.2487564       5.00000000    
  -28.2697639       4.06781292      -21.5949516       5.00000000    
  -25.0219345      -11.2865429      -19.4755974       5.00000000    
  -28.4087029       4.15508175      -43.5891571       5.00000000    
  -38.9512863     -0.287794590      -40.3931770       5.00000000    
  -17.1166229      -23.1454086      -47.9705086       5.00000000    
  -7.26920795      -23.0568771      -49.7081833       5.00000000    
  -16.2406120      -17.1883850      -39.9863625       5.00000000    
  -3.26873732      -25.6643810      -40.9219208       5.00000000    
  -12.0635262      -18.3177433      -57.0942688       5.00000000    
  -23.7887001      -15.7130337      -47.4796219       5.00000000    
  -5.98494005      -32.9530945      -49.0653458       5.00000000    
  -9.74168491      -28.8885593      -34.0148659       5.00000000    
  -2.33180046      -20.4268646      -58.0085526       5.00000000    
  -17.9892082      -8.95089149      -52.0225601       5.00000000    
   8.41144180      -7.06834412      -53.0739746       5.00000000    
   4.62653637      -9.36422825      -44.1074867       5.00000000    
   1.85186958      0.349241257      -54.4705315       5.00000000    
   7.79127884      -17.2516747      -49.3766060       5.00000000    
  -2.11753654      -16.7453232      -43.9097443       5.00000000    
  -4.69206858      0.479463577      -46.9105682       5.00000000    
   10.8177032      -15.0697680      -58.5684052       5.00000000    
